Symbol	RNA
BC055324	BC055324	Gene Expression
Mettl18	Mettl18	Gene Expression
Selp	Selp	Gene Expression
Gm16587	Gm16587	Gene Expression
Gm16548	Gm16548	Gene Expression
F5	F5	Gene Expression
Slc19a2	Slc19a2	Gene Expression
Ccdc181	Ccdc181	Gene Expression
Blzf1	Blzf1	Gene Expression
Nme7	Nme7	Gene Expression
Atp1b1	Atp1b1	Gene Expression
Sft2d2	Sft2d2	Gene Expression
Tiprl	Tiprl	Gene Expression
Dcaf6	Dcaf6	Gene Expression
Mpc2	Mpc2	Gene Expression
Mpzl1	Mpzl1	Gene Expression
Rcsd1	Rcsd1	Gene Expression
Creg1	Creg1	Gene Expression
Pou2f1	Pou2f1	Gene Expression
Ildr2	Ildr2	Gene Expression
Tada1	Tada1	Gene Expression
Pogk	Pogk	Gene Expression
Uck2	Uck2	Gene Expression
Tmco1	Tmco1	Gene Expression
Aldh9a1	Aldh9a1	Gene Expression
Mgst3	Mgst3	Gene Expression
Rxrg	Rxrg	Gene Expression
Pbx1	Pbx1	Gene Expression
Nuf2	Nuf2	Gene Expression
Rgs5	Rgs5	Gene Expression
Rgs4	Rgs4	Gene Expression
Hsd17b7	Hsd17b7	Gene Expression
3110045C21Rik	3110045C21Rik	Gene Expression
Ddr2	Ddr2	Gene Expression
Uap1	Uap1	Gene Expression
Uhmk1	Uhmk1	Gene Expression
Gm7694	Gm7694	Gene Expression
Nos1ap	Nos1ap	Gene Expression
Atf6	Atf6	Gene Expression
Dusp12	Dusp12	Gene Expression
Gm26620	Gm26620	Gene Expression
Fcgr2b	Fcgr2b	Gene Expression
Fcgr4	Fcgr4	Gene Expression
Fcgr3	Fcgr3	Gene Expression
Cfap126	Cfap126	Gene Expression
Sdhc	Sdhc	Gene Expression
Mpz	Mpz	Gene Expression
Pcp4l1	Pcp4l1	Gene Expression
Nr1i3	Nr1i3	Gene Expression
Tomm40l	Tomm40l	Gene Expression
Apoa2	Apoa2	Gene Expression
Fcer1g	Fcer1g	Gene Expression
Ndufs2	Ndufs2	Gene Expression
Adamts4	Adamts4	Gene Expression
B4galt3	B4galt3	Gene Expression
Ppox	Ppox	Gene Expression
Usp21	Usp21	Gene Expression
Ufc1	Ufc1	Gene Expression
Gm20045	Gm20045	Gene Expression
Dedd	Dedd	Gene Expression
Nit1	Nit1	Gene Expression
Pfdn2	Pfdn2	Gene Expression
Arhgap30	Arhgap30	Gene Expression
Usf1	Usf1	Gene Expression
Tstd1	Tstd1	Gene Expression
F11r	F11r	Gene Expression
B930036N10Rik	B930036N10Rik	Gene Expression
Alyref2	Alyref2	Gene Expression
Ly9	Ly9	Gene Expression
Cd84	Cd84	Gene Expression
Vangl2	Vangl2	Gene Expression
Ncstn	Ncstn	Gene Expression
Copa	Copa	Gene Expression
Pex19	Pex19	Gene Expression
Dcaf8	Dcaf8	Gene Expression
Pea15a	Pea15a	Gene Expression
Igsf8	Igsf8	Gene Expression
Kcnj10	Kcnj10	Gene Expression
Pigm	Pigm	Gene Expression
Tagln2	Tagln2	Gene Expression
Cfap45	Cfap45	Gene Expression
Dusp23	Dusp23	Gene Expression
Crp	Crp	Gene Expression
Apcs	Apcs	Gene Expression
Ackr1	Ackr1	Gene Expression
Cadm3	Cadm3	Gene Expression
Ifi207	Ifi207	Gene Expression
Ifi204	Ifi204	Gene Expression
Mndal	Mndal	Gene Expression
Ifi203	Ifi203	Gene Expression
Ifi202b	Ifi202b	Gene Expression
Fmn2	Fmn2	Gene Expression
Grem2	Grem2	Gene Expression
Rgs7	Rgs7	Gene Expression
Fh1	Fh1	Gene Expression
Kmo	Kmo	Gene Expression
Opn3	Opn3	Gene Expression
Chml	Chml	Gene Expression
Exo1	Exo1	Gene Expression
Rbm8a2	Rbm8a2	Gene Expression
Cep170	Cep170	Gene Expression
Sdccag8	Sdccag8	Gene Expression
Akt3	Akt3	Gene Expression
Zbtb18	Zbtb18	Gene Expression
Adss	Adss	Gene Expression
Desi2	Desi2	Gene Expression
B230369F24Rik	B230369F24Rik	Gene Expression
Cox20	Cox20	Gene Expression
Hnrnpu	Hnrnpu	Gene Expression
Efcab2	Efcab2	Gene Expression
Kif26b	Kif26b	Gene Expression
Smyd3	Smyd3	Gene Expression
Tfb2m	Tfb2m	Gene Expression
Cnst	Cnst	Gene Expression
Sccpdh	Sccpdh	Gene Expression
Ahctf1	Ahctf1	Gene Expression
Cdc42bpa	Cdc42bpa	Gene Expression
Coq8a	Coq8a	Gene Expression
Gm37336	Gm37336	Gene Expression
Psen2	Psen2	Gene Expression
Itpkb	Itpkb	Gene Expression
Parp1	Parp1	Gene Expression
Lin9	Lin9	Gene Expression
Acbd3	Acbd3	Gene Expression
H3f3a	H3f3a	Gene Expression
Sde2	Sde2	Gene Expression
Pycr2	Pycr2	Gene Expression
Lefty1	Lefty1	Gene Expression
Tmem63a	Tmem63a	Gene Expression
Ephx1	Ephx1	Gene Expression
9130409I23Rik	9130409I23Rik	Gene Expression
Nvl	Nvl	Gene Expression
Cnih4	Cnih4	Gene Expression
Wdr26	Wdr26	Gene Expression
Lbr	Lbr	Gene Expression
Enah	Enah	Gene Expression
Srp9	Srp9	Gene Expression
Degs1	Degs1	Gene Expression
Fbxo28	Fbxo28	Gene Expression
Trp53bp2	Trp53bp2	Gene Expression
Capn2	Capn2	Gene Expression
Capn8	Capn8	Gene Expression
Susd4	Susd4	Gene Expression
Tlr5	Tlr5	Gene Expression
Gm38079	Gm38079	Gene Expression
Disp1	Disp1	Gene Expression
Brox	Brox	Gene Expression
Aida	Aida	Gene Expression
Mia3	Mia3	Gene Expression
Taf1a	Taf1a	Gene Expression
Hhipl2	Hhipl2	Gene Expression
Dusp10	Dusp10	Gene Expression
1700056E22Rik	1700056E22Rik	Gene Expression
Hlx	Hlx	Gene Expression
Marc1	Marc1	Gene Expression
Marc2	Marc2	Gene Expression
